asset_id,asset_name,asset_type,criticality,internet_exposure,business_impact_score,environment,ip_address,installed_software,description,department_name
ASSET-001,Payment Processing Server,Server,CRITICAL,1,10,Production,10.0.1.10,"java,spring,stripe,openssl,tls,nginx,payment,pci,encryption,tomcat",Handles all customer payment transactions. PCI-DSS scoped. Breach = regulatory fines + reputational damage.,Payments & Finance
ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,10.0.2.10,"mysql,postgresql,sql,database,redis,storage,encryption,pii,gdpr",Stores PII for all 2M+ customers. GDPR scoped. Breach = massive fines + class-action lawsuits.,Core Engineering
ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,10.0.1.11,"postgresql,sql,database,oracle,jdbc,encryption,backup",Stores financial transaction history and reporting data. Audit trail for regulators.,Payments & Finance
ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,10.0.2.12,"oauth,jwt,keycloak,ldap,saml,sso,kerberos,auth,session,openid,mfa",Central authentication for all users and internal services. Compromise = full account takeover.,Core Engineering
ASSET-004,Public Web Server,Server,HIGH,1,8,Production,10.0.2.11,"nginx,apache,http,https,react,node,javascript,php,web,html,ssl,tls",Serves the public-facing ShopEasy storefront. Downtime = direct revenue loss.,Core Engineering
ASSET-007,Order Management System,Server,HIGH,0,8,Production,10.0.2.14,"java,spring,microservices,kafka,rabbitmq,queue,postgresql",Manages order lifecycle from cart to fulfilment. Internal service only.,Core Engineering
ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,10.0.3.10,"nginx,haproxy,ssl,tls,http,proxy,load balancer,gateway,openssl",Entry point for all inbound traffic. Handles SSL termination and routing.,IT Infrastructure
ASSET-024,Developer Secrets Manager,Server,HIGH,0,8,Development,10.0.7.30,"vault,hashicorp,secrets,pki,certificate,encryption,key,token","HashiCorp Vault storing API keys, DB credentials, certificates. High-value target.",DevOps
ASSET-025,HR & Payroll System,Server,HIGH,0,8,Production,10.0.8.10,"sap,workday,hr,payroll,employee,pii,ldap,active directory,windows","Employee PII, salary, and payroll data. GDPR/DPDPA scoped.",Human Resources
ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,10.0.8.20,"sap,erp,oracle,finance,accounting,supply chain,windows,java",Enterprise resource planning system for finance and operations.,Payments & Finance
